,Image number,Object,Reliability,Size of box
2352,477,car,89.4962728023529,4536
2353,477,car,98.11522960662842,4648
2354,477,car,94.51548457145691,14706
2355,477,car,95.24028301239014,176
2356,477,person,85.48085689544678,544
2357,477,car,79.21688556671143,2392
2358,478,car,89.70893025398254,5605
2359,478,car,74.10562634468079,306
2360,479,car,99.73682761192322,6790
2361,479,car,96.02100849151611,9009
2362,479,car,97.85631895065308,806
2363,480,car,99.65923428535461,13860
2364,480,car,91.22121334075928,4040
2365,480,car,97.5134789943695,13184
2366,480,car,87.97307014465332,285
2367,480,person,71.10477685928345,200
2368,480,person,74.4214415550232,200
2369,480,car,93.71331334114075,504
2370,480,person,91.57072305679321,768
2371,481,car,99.45225715637207,26240
2372,481,car,92.83445477485657,182
2373,481,person,76.19057893753052,567
2374,481,person,87.04103827476501,285
2375,481,person,75.094473361969,209
2376,481,car,93.19681525230408,352
2377,481,car,83.30965042114258,216
2378,481,car,86.00137233734131,143
2379,481,car,99.6917188167572,2655
2380,482,bicycle,99.50855374336243,27540
2381,482,car,99.67061281204224,4680
2382,482,person,93.85828375816345,14256
2383,482,car,93.47957968711853,120
2384,482,car,63.73055577278137,90
2385,482,car,62.241578102111816,64
2386,482,car,95.51993012428284,121
2387,482,car,84.36501026153564,441
2388,482,person,85.71199178695679,1014
2389,482,bicycle,62.19327449798584,2030
2390,483,car,99.18330311775208,7280
2391,483,car,66.88385605812073,100
2392,483,car,72.85046577453613,120
2393,484,car,77.79935002326965,90
2394,484,car,73.10578227043152,984
2395,484,car,82.81736373901367,450
2396,484,car,86.68633699417114,1456
2397,485,person,98.028165102005,2790
2398,485,handbag,61.9836688041687,726
2399,485,car,99.32166934013367,2100
2400,486,car,97.99156188964844,4320
2401,486,car,94.87232565879822,8928
2402,486,car,98.31117391586304,13340
2403,486,car,98.49792718887329,255
2404,486,person,71.51605486869812,102
2405,486,car,80.55463433265686,1232
2406,486,car,78.4011721611023,2009
2407,486,person,92.94962286949158,1210
2408,487,person,83.96257162094116,2210
2409,488,car,94.31124329566956,11907
2410,488,car,66.167813539505,323
2411,488,car,75.27521252632141,156
2412,488,car,80.0153374671936,572
2413,488,car,99.537593126297,2128
2414,490,car,95.49912810325623,15738
2415,490,car,85.34198999404907,180
2416,492,person,98.46129417419434,2542
2417,492,person,99.2504894733429,2821
2418,492,car,99.51403737068176,2070
2419,493,person,97.7530837059021,2106
2420,493,car,62.73568272590637,132
2421,493,car,98.46339225769043,1428
2422,494,car,94.49228048324585,165
2423,494,car,84.92497205734253,272
2424,494,person,72.31464385986328,102
2425,495,person,71.31007313728333,546
2426,495,person,87.95896768569946,645
2427,496,motorbike,69.91744041442871,2100
2428,497,car,65.91011881828308,14750
2429,497,truck,70.9607183933258,34701
2430,497,car,93.44353079795837,736
2431,497,car,77.17363238334656,361
2432,497,car,96.03113532066345,616
2433,497,car,88.07343244552612,468
2434,499,car,98.02325367927551,28800
2435,499,car,83.7614357471466,143
2436,499,car,88.9106273651123,704
2437,499,car,98.9769697189331,2072
2438,500,truck,63.514745235443115,2992
2439,500,car,98.33569526672363,2822
2440,500,person,95.70039510726929,330
2441,500,person,97.71566987037659,360
2442,500,person,70.09934782981873,688
